,Investigation,Date,Location,Country,Damage,Make,Model,EnginesNo,EngineType,Carrier,Weather,Phase,GeoPoint,Make_Model
124627,Accident,2017-05-28,Petersville_AK,US,Substantial,Dehavilland,DHC_2,1,Reciprocating,Talkeetna_air_taxi_inc,VMC,Other,"62.936111, -150.684444",Dehavilland_DHC_2
125051,Accident,2011-11-23,Talkeetna_AK,US,Substantial,Cessna,A185F,1,Reciprocating,Sheldon_air_service,VMC,Cruise,"62.320556, -150.083333",Cessna_A185F
125071,Accident,2015-11-02,Chicago_IL,US,Substantial,Cessna,208,1,Turbo_Prop,Multi_aero_inc_(dba:_air_choice_one),VMC,Taxi,"41.977223, 87.908056",Cessna_208
125102,Incident,2012-06-17,LasVegas_NV,US,Missing,Airbus,A320,2,Turbo_Fan,Jetblue_airways_corporation_(dba:_jetblue_airways),VMC,Takeoff,"36.08, -115.152222",Airbus_A320
125108,Accident,2014-08-13,Braithwaite_LA,US,Substantial,Cessna,U206E,1,Reciprocating,Southern_seaplane_inc.,VMC,Maneuvering,"29.843611, -89.979445",Cessna_U206E
125113,Accident,2014-08-06,Anderson_AK,US,Substantial,Piper,PA-32,1,Reciprocating,Valley_aviation_llc,VMC,Landing,"63.52, -147.5",Piper_PA-32
125136,Accident,2014-02-05,Memphis_TN,US,Substantial,Embraer,EMB_145,2,Turbo_Jet,"Trans_states_airlines,_llc_(dba:_trans_states_airlines)",IMC,Landing,"35.2, -90.056667",Embraer_EMB_145
125151,Accident,2013-08-22,Boise_ID,US,Substantial,Cessna,206,1,Reciprocating,Mccall_air,VMC,Landing,"43.564167, -116.222778",Cessna_206
125226,Accident,2013-09-05,McGrath_AK,US,Substantial,Cessna,U206G,1,Reciprocating,"Alaska_skyways,_inc._(dba:_regla_air)",VMC,Takeoff,"61.918056, -154.557778",Cessna_U206G
125251,Accident,2015-10-24,Plevna_KS,US,Missing,Boeing,737,2,Turbo_Fan,United_Airlines,VMC,Other,"38.008611, -98.385555",Boeing_737
125655,Incident,2008-03-26,Page_AZ,US,Minor,Raytheon_aircraft_company,1900D,2,Turbo_Prop,Great_Lakes,VMC,Takeoff,"36.925834, -111.448333",Raytheon_aircraft_company_1900D
125671,Accident,2007-12-25,Ontario_CA,US,Missing,Mcdonnell,DC_9_83,2,Turbo_Fan,"Alaska_airlines,_inc.",VMC,Descent,"34.056111, -117.601111",Mcdonnell_DC_9_83
